ID,Animal,Weight (kg),Lifespan (years),Diet,Habitat,Conservation Status
1,Aardvark,11.0,42.5,Herbivore,Grasslands,Vulnerable
2,Aardwolf,11.0,65.0,Insectivore,Savannas,Vulnerable
3,Albatross,52.5,65.0,Herbivore,Savannahs,Vulnerable
4,African Lion,185.0,42.5,Carnivore,Savannas,Least Concern
5,Alligator,325.0,35.0,Herbivore,Savannahs,Least Concern
6,Aardvark,185.0,35.0,Carnivore,Grasslands,Vulnerable
7,Alligator,27.0,25.0,Piscivore,Grasslands,Vulnerable
8,Aardvark,325.0,11.0,Carnivore,Oceans,Near Threatened
9,Aardwolf,11.0,12.0,Insectivore,Savannah,Least Concern
11,African Wild Dog,52.5,65.0,Carnivore,Grasslands,Vulnerable
12,African Lion,11.5,42.5,Insectivore,Grasslands,Least Concern
13,African Wild Dog,185.0,12.0,Carnivore,Grasslands,Vulnerable
14,African Lion,185.0,11.0,Carnivore,Grasslands,Near Threatened
15,African Elephant,11.0,11.0,Carnivore,Grasslands,Vulnerable
16,African Elephant,11.5,12.0,Carnivore,Grasslands,Least Concern
17,African Lion,325.0,35.0,Insectivore,Savannas,Near Threatened
18,African Lion,325.0,11.0,Herbivore,Grasslands,Least Concern
19,Alligator,11.5,65.0,Insectivore,Savannah,Least Concern
20,African Wild Dog,185.0,35.0,Carnivore,Savannas,Least Concern
21,African Wild Dog,27.0,35.0,Piscivore,Savannah,Near Threatened
22,Alligator,185.0,11.0,Insectivore,Oceans,Vulnerable
23,African Wild Dog,185.0,11.0,Carnivore,Savannah,Endangered
24,African Wild Dog,27.0,35.0,Carnivore,Savannahs,Vulnerable
25,African Wild Dog,11.5,35.0,Insectivore,Grasslands,Least Concern
26,Aardvark,11.5,35.0,Carnivore,Savannah,Vulnerable
27,African Lion,52.5,35.0,Herbivore,Savannahs,Least Concern
28,Alligator,4350.0,11.0,Carnivore,Savannahs,Least Concern
29,Aardvark,4350.0,42.5,Piscivore,Grasslands,Least Concern
30,African Elephant,4350.0,12.0,Carnivore,Oceans,Near Threatened
31,Aardvark,52.5,11.0,Piscivore,Grasslands,Least Concern
32,African Elephant,4350.0,42.5,Insectivore,Oceans,Endangered
33,African Wild Dog,11.0,12.0,Herbivore,Wetlands,Near Threatened
34,African Lion,185.0,12.0,Piscivore,Savannahs,Endangered
35,Albatross,4350.0,12.0,Carnivore,Oceans,Vulnerable
36,Albatross,185.0,65.0,Piscivore,Savannas,Vulnerable
37,African Wild Dog,325.0,65.0,Carnivore,Oceans,Vulnerable
38,Alligator,4350.0,65.0,Carnivore,Oceans,Vulnerable
39,Aardwolf,27.0,11.0,Herbivore,Savannas,Endangered
40,Alligator,11.0,65.0,Herbivore,Savannahs,Endangered
41,African Wild Dog,185.0,42.5,Herbivore,Savannahs,Endangered
42,Aardwolf,4350.0,25.0,Carnivore,Grasslands,Least Concern
43,African Lion,325.0,65.0,Piscivore,Savannah,Least Concern
44,Alligator,11.5,25.0,Carnivore,Grasslands,Least Concern
45,Aardwolf,27.0,12.0,Insectivore,Savannahs,Vulnerable
46,African Lion,11.0,25.0,Herbivore,Grasslands,Vulnerable
47,Albatross,11.5,11.0,Carnivore,Savannas,Least Concern
48,African Wild Dog,185.0,35.0,Piscivore,Wetlands,Near Threatened
49,Aardvark,11.5,25.0,Insectivore,Savannah,Vulnerable
50,Aardvark,27.0,42.5,Carnivore,Grasslands,Endangered
51,African Wild Dog,4350.0,11.0,Insectivore,Savannah,Vulnerable
52,Albatross,4350.0,11.0,Insectivore,Grasslands,Near Threatened
53,Albatross,185.0,25.0,Carnivore,Wetlands,Endangered
54,African Lion,4350.0,12.0,Carnivore,Savannahs,Least Concern
55,African Lion,11.5,25.0,Herbivore,Savannas,Vulnerable
56,Alligator,52.5,11.0,Piscivore,Grasslands,Least Concern
57,Aardvark,27.0,42.5,Insectivore,Grasslands,Least Concern
58,Alligator,325.0,25.0,Insectivore,Wetlands,Least Concern
59,African Wild Dog,27.0,25.0,Herbivore,Savannahs,Near Threatened
60,Aardvark,27.0,11.0,Carnivore,Savannah,Least Concern
61,African Lion,11.0,35.0,Insectivore,Oceans,Near Threatened
62,African Wild Dog,52.5,11.0,Carnivore,Grasslands,Least Concern
63,Aardvark,11.5,25.0,Insectivore,Wetlands,Vulnerable
64,African Wild Dog,52.5,65.0,Insectivore,Wetlands,Least Concern
65,Alligator,185.0,35.0,Insectivore,Savannah,Least Concern
66,African Lion,52.5,11.0,Insectivore,Savannahs,Least Concern
67,African Elephant,325.0,11.0,Insectivore,Savannah,Least Concern
68,Aardwolf,325.0,12.0,Carnivore,Wetlands,Near Threatened
69,Albatross,11.0,11.0,Carnivore,Savannahs,Vulnerable
70,Aardwolf,11.0,35.0,Piscivore,Savannas,Endangered
71,African Wild Dog,185.0,25.0,Piscivore,Savannas,Least Concern
72,African Wild Dog,11.0,35.0,Herbivore,Savannahs,Vulnerable
73,Aardvark,325.0,12.0,Insectivore,Savannahs,Vulnerable
74,African Elephant,4350.0,42.5,Insectivore,Savannas,Endangered
75,African Elephant,325.0,11.0,Carnivore,Savannahs,Near Threatened
76,African Wild Dog,325.0,65.0,Insectivore,Savannas,Vulnerable
77,African Wild Dog,4350.0,11.0,Insectivore,Savannah,Least Concern
78,African Wild Dog,185.0,12.0,Insectivore,Savannas,Least Concern
79,Albatross,27.0,11.0,Insectivore,Savannah,Least Concern
80,African Wild Dog,11.5,11.0,Piscivore,Savannas,Least Concern
81,African Wild Dog,4350.0,65.0,Herbivore,Grasslands,Least Concern
82,Alligator,27.0,11.0,Piscivore,Savannas,Endangered
83,Aardvark,27.0,11.0,Insectivore,Grasslands,Vulnerable
84,African Elephant,11.5,65.0,Insectivore,Grasslands,Endangered
85,Albatross,11.5,35.0,Carnivore,Wetlands,Vulnerable
86,African Elephant,4350.0,42.5,Insectivore,Wetlands,Least Concern
87,African Wild Dog,11.5,42.5,Carnivore,Grasslands,Least Concern
88,African Wild Dog,52.5,42.5,Insectivore,Savannas,Least Concern
89,Aardvark,27.0,35.0,Insectivore,Savannahs,Least Concern
90,Albatross,185.0,12.0,Carnivore,Wetlands,Least Concern
91,Aardvark,52.5,42.5,Piscivore,Savannas,Least Concern
92,Aardwolf,27.0,42.5,Insectivore,Grasslands,Endangered
93,Alligator,325.0,12.0,Herbivore,Grasslands,Endangered
94,Alligator,52.5,25.0,Herbivore,Oceans,Vulnerable
95,African Wild Dog,4350.0,11.0,Carnivore,Savannah,Least Concern
96,African Elephant,185.0,42.5,Carnivore,Grasslands,Least Concern
97,African Wild Dog,185.0,11.0,Herbivore,Oceans,Vulnerable
98,Alligator,52.5,11.0,Insectivore,Grasslands,Near Threatened
99,Albatross,4350.0,65.0,Insectivore,Savannahs,Least Concern
100,Albatross,52.5,11.0,Piscivore,Savannahs,Least Concern
101,Alligator,27.0,42.5,Piscivore,Oceans,Least Concern
102,Aardvark,4350.0,65.0,Insectivore,Wetlands,Vulnerable
103,Albatross,52.5,12.0,Insectivore,Savannah,Vulnerable
104,Aardwolf,11.5,42.5,Insectivore,Savannahs,Least Concern
105,African Lion,4350.0,35.0,Piscivore,Savannas,Least Concern
106,Aardvark,4350.0,11.0,Carnivore,Savannas,Near Threatened
107,Alligator,185.0,11.0,Insectivore,Oceans,Least Concern
108,Aardwolf,11.0,25.0,Piscivore,Grasslands,Vulnerable
109,Albatross,27.0,25.0,Insectivore,Savannas,Least Concern
110,Alligator,52.5,12.0,Insectivore,Grasslands,Least Concern
111,Alligator,11.0,11.0,Carnivore,Grasslands,Least Concern
112,Albatross,11.5,65.0,Carnivore,Savannah,Endangered
113,African Wild Dog,325.0,25.0,Insectivore,Grasslands,Endangered
114,Alligator,11.5,12.0,Carnivore,Grasslands,Least Concern
115,Alligator,11.0,65.0,Carnivore,Savannahs,Vulnerable
116,Albatross,185.0,65.0,Piscivore,Savannah,Least Concern
117,African Elephant,52.5,25.0,Carnivore,Grasslands,Least Concern
118,Alligator,185.0,25.0,Carnivore,Grasslands,Vulnerable
119,Aardwolf,325.0,42.5,Piscivore,Savannas,Endangered
120,Albatross,27.0,42.5,Carnivore,Savannas,Vulnerable
121,Alligator,11.0,42.5,Insectivore,Savannah,Least Concern
122,Albatross,27.0,25.0,Carnivore,Savannah,Least Concern
123,African Lion,4350.0,42.5,Insectivore,Grasslands,Near Threatened
124,African Lion,4350.0,12.0,Carnivore,Grasslands,Least Concern
125,Albatross,11.0,65.0,Carnivore,Savannas,Vulnerable
126,Albatross,52.5,25.0,Carnivore,Grasslands,Vulnerable
127,Aardvark,4350.0,35.0,Carnivore,Savannas,Least Concern
128,African Lion,11.0,65.0,Carnivore,Grasslands,Near Threatened
129,Albatross,11.0,65.0,Insectivore,Grasslands,Least Concern
130,African Lion,27.0,42.5,Carnivore,Savannah,Least Concern
131,African Lion,11.0,65.0,Insectivore,Grasslands,Near Threatened
132,African Wild Dog,27.0,42.5,Herbivore,Savannah,Least Concern
133,African Elephant,325.0,42.5,Carnivore,Savannah,Least Concern
134,Alligator,185.0,12.0,Carnivore,Grasslands,Least Concern
135,Aardvark,4350.0,42.5,Insectivore,Oceans,Vulnerable
136,Aardwolf,11.5,35.0,Carnivore,Savannahs,Vulnerable
137,African Elephant,52.5,12.0,Herbivore,Savannahs,Vulnerable
138,Albatross,185.0,11.0,Carnivore,Grasslands,Vulnerable
139,Aardvark,325.0,35.0,Piscivore,Savannah,Least Concern
140,Aardvark,4350.0,12.0,Carnivore,Savannah,Near Threatened
141,African Lion,185.0,25.0,Carnivore,Oceans,Near Threatened
142,Aardwolf,4350.0,65.0,Carnivore,Grasslands,Near Threatened
143,Albatross,11.0,11.0,Insectivore,Savannahs,Least Concern
144,Albatross,11.0,65.0,Carnivore,Grasslands,Near Threatened
145,Aardwolf,325.0,65.0,Piscivore,Wetlands,Least Concern
146,Alligator,11.0,65.0,Carnivore,Savannah,Least Concern
147,African Elephant,185.0,42.5,Carnivore,Grasslands,Near Threatened
148,African Wild Dog,11.5,42.5,Carnivore,Grasslands,Vulnerable
149,Aardwolf,27.0,25.0,Carnivore,Savannahs,Least Concern
150,African Lion,185.0,11.0,Carnivore,Wetlands,Endangered
151,African Elephant,11.0,12.0,Piscivore,Savannah,Least Concern
152,Aardvark,4350.0,35.0,Insectivore,Savannas,Vulnerable
153,Aardwolf,11.0,35.0,Insectivore,Oceans,Least Concern
154,Albatross,11.5,42.5,Carnivore,Wetlands,Least Concern
155,Aardvark,11.0,11.0,Piscivore,Savannahs,Least Concern
156,African Elephant,52.5,25.0,Insectivore,Grasslands,Least Concern
157,African Wild Dog,11.0,12.0,Carnivore,Wetlands,Vulnerable
158,African Lion,27.0,65.0,Carnivore,Savannah,Least Concern
159,Aardvark,185.0,42.5,Carnivore,Savannah,Endangered
160,Aardwolf,325.0,25.0,Piscivore,Oceans,Vulnerable
161,African Elephant,52.5,42.5,Herbivore,Grasslands,Least Concern
162,African Wild Dog,11.0,12.0,Insectivore,Grasslands,Least Concern
163,African Wild Dog,4350.0,42.5,Carnivore,Savannah,Near Threatened
164,African Wild Dog,11.5,11.0,Piscivore,Grasslands,Endangered
165,African Elephant,11.0,35.0,Piscivore,Savannah,Vulnerable
166,Alligator,52.5,35.0,Piscivore,Savannas,Vulnerable
167,Aardvark,325.0,12.0,Piscivore,Grasslands,Least Concern
168,Aardwolf,11.5,11.0,Carnivore,Savannah,Least Concern
169,Alligator,11.5,25.0,Carnivore,Wetlands,Least Concern
170,Alligator,325.0,12.0,Herbivore,Savannahs,Least Concern
171,Aardwolf,11.5,12.0,Piscivore,Savannas,Least Concern
172,Albatross,11.0,11.0,Piscivore,Savannah,Least Concern
173,Aardvark,11.0,42.5,Piscivore,Savannas,Least Concern
174,Aardvark,27.0,35.0,Piscivore,Savannahs,Least Concern
175,Alligator,52.5,65.0,Carnivore,Savannas,Endangered
176,African Lion,52.5,65.0,Herbivore,Savannahs,Vulnerable
177,Alligator,185.0,35.0,Insectivore,Grasslands,Least Concern
178,Aardwolf,11.5,25.0,Carnivore,Wetlands,Least Concern
179,African Elephant,52.5,42.5,Piscivore,Grasslands,Least Concern
180,Alligator,52.5,12.0,Herbivore,Savannahs,Vulnerable
181,Albatross,11.5,25.0,Insectivore,Oceans,Vulnerable
182,Albatross,27.0,11.0,Herbivore,Savannas,Least Concern
183,African Elephant,27.0,65.0,Carnivore,Savannas,Vulnerable
184,African Lion,185.0,65.0,Carnivore,Savannahs,Endangered
185,African Elephant,52.5,42.5,Insectivore,Savannah,Least Concern
186,Albatross,11.0,42.5,Insectivore,Wetlands,Vulnerable
187,Alligator,27.0,42.5,Carnivore,Savannas,Least Concern
188,African Wild Dog,11.5,12.0,Insectivore,Grasslands,Least Concern
189,African Elephant,27.0,65.0,Carnivore,Savannahs,Least Concern
190,African Wild Dog,185.0,12.0,Insectivore,Oceans,Vulnerable
191,Aardwolf,52.5,42.5,Piscivore,Grasslands,Vulnerable
192,Alligator,325.0,35.0,Carnivore,Savannas,Vulnerable
193,Aardvark,4350.0,35.0,Herbivore,Savannah,Least Concern
194,Alligator,27.0,25.0,Carnivore,Oceans,Vulnerable
195,Aardwolf,52.5,35.0,Piscivore,Oceans,Near Threatened
196,Aardvark,11.5,12.0,Carnivore,Savannas,Endangered
197,Alligator,52.5,11.0,Herbivore,Grasslands,Near Threatened
198,Aardvark,185.0,35.0,Carnivore,Oceans,Endangered
199,Alligator,185.0,65.0,Piscivore,Wetlands,Near Threatened
200,Alligator,4350.0,11.0,Insectivore,Grasslands,Endangered
201,Aardvark,11.0,65.0,Carnivore,Oceans,Near Threatened
202,Aardwolf,52.5,11.0,Insectivore,Grasslands,Least Concern
203,African Wild Dog,4350.0,25.0,Insectivore,Grasslands,Vulnerable
204,Aardwolf,185.0,25.0,Insectivore,Savannahs,Vulnerable
205,Alligator,11.5,65.0,Insectivore,Savannas,Least Concern
206,Aardvark,11.0,12.0,Carnivore,Wetlands,Near Threatened
207,African Lion,325.0,35.0,Insectivore,Savannas,Vulnerable
208,African Wild Dog,185.0,35.0,Insectivore,Wetlands,Least Concern
209,Albatross,11.5,25.0,Insectivore,Savannah,Vulnerable
210,African Elephant,52.5,11.0,Insectivore,Wetlands,Least Concern
211,African Lion,325.0,11.0,Carnivore,Savannahs,Vulnerable
212,Alligator,185.0,11.0,Insectivore,Savannas,Vulnerable
213,Aardvark,27.0,65.0,Carnivore,Savannahs,Near Threatened
214,Alligator,27.0,11.0,Piscivore,Wetlands,Least Concern
215,Albatross,325.0,42.5,Carnivore,Savannas,Least Concern
216,Aardvark,27.0,65.0,Carnivore,Grasslands,Least Concern
217,African Lion,27.0,42.5,Carnivore,Oceans,Least Concern
218,Alligator,27.0,12.0,Insectivore,Wetlands,Least Concern
219,Aardwolf,27.0,11.0,Piscivore,Wetlands,Least Concern
220,Alligator,52.5,11.0,Insectivore,Oceans,Least Concern
221,African Elephant,52.5,11.0,Herbivore,Savannahs,Least Concern
222,African Elephant,52.5,35.0,Carnivore,Savannahs,Near Threatened
223,Albatross,325.0,11.0,Carnivore,Wetlands,Vulnerable
224,Albatross,325.0,42.5,Herbivore,Savannahs,Least Concern
225,Albatross,11.0,42.5,Piscivore,Grasslands,Endangered
226,Aardwolf,4350.0,65.0,Piscivore,Savannahs,Vulnerable
227,Aardvark,11.0,42.5,Carnivore,Grasslands,Vulnerable
228,African Elephant,4350.0,25.0,Carnivore,Grasslands,Least Concern
229,African Elephant,52.5,42.5,Piscivore,Oceans,Least Concern
230,Albatross,27.0,11.0,Insectivore,Grasslands,Least Concern
231,African Lion,11.0,42.5,Carnivore,Wetlands,Vulnerable
232,Aardwolf,325.0,65.0,Carnivore,Wetlands,Least Concern
233,African Elephant,11.5,65.0,Carnivore,Wetlands,Least Concern
234,African Wild Dog,11.0,12.0,Carnivore,Savannas,Least Concern
235,Alligator,4350.0,65.0,Herbivore,Savannas,Least Concern
236,African Lion,11.5,65.0,Insectivore,Grasslands,Vulnerable
237,Albatross,325.0,65.0,Carnivore,Savannah,Least Concern
238,African Elephant,325.0,12.0,Piscivore,Wetlands,Vulnerable
239,Albatross,4350.0,65.0,Herbivore,Savannas,Vulnerable
240,African Elephant,27.0,25.0,Piscivore,Oceans,Endangered
241,Aardvark,52.5,25.0,Insectivore,Grasslands,Least Concern
242,African Lion,11.5,11.0,Carnivore,Grasslands,Vulnerable
243,Albatross,11.5,12.0,Carnivore,Savannas,Vulnerable
244,African Wild Dog,185.0,42.5,Carnivore,Savannahs,Endangered
245,African Lion,11.0,11.0,Insectivore,Grasslands,Least Concern
246,Aardwolf,52.5,11.0,Carnivore,Savannas,Near Threatened
247,Alligator,11.0,25.0,Piscivore,Oceans,Vulnerable
248,Albatross,52.5,12.0,Insectivore,Oceans,Vulnerable
249,African Lion,185.0,65.0,Herbivore,Savannas,Vulnerable
250,Aardvark,185.0,65.0,Carnivore,Savannahs,Least Concern
251,Aardvark,52.5,42.5,Herbivore,Grasslands,Least Concern
252,Aardwolf,11.0,11.0,Herbivore,Savannahs,Vulnerable
253,Aardwolf,27.0,11.0,Insectivore,Savannas,Least Concern
254,Alligator,4350.0,25.0,Carnivore,Wetlands,Vulnerable
255,Aardvark,185.0,11.0,Insectivore,Grasslands,Vulnerable
256,African Elephant,52.5,25.0,Insectivore,Savannah,Endangered
257,African Elephant,11.0,11.0,Insectivore,Oceans,Least Concern
258,African Elephant,52.5,42.5,Insectivore,Savannas,Endangered
259,Aardwolf,325.0,12.0,Insectivore,Grasslands,Vulnerable
260,Aardvark,185.0,11.0,Herbivore,Wetlands,Vulnerable
261,African Wild Dog,11.5,35.0,Insectivore,Savannah,Least Concern
262,Albatross,11.5,11.0,Insectivore,Oceans,Least Concern
263,African Elephant,185.0,35.0,Carnivore,Grasslands,Least Concern
264,Aardwolf,11.0,11.0,Carnivore,Oceans,Vulnerable
265,African Lion,52.5,11.0,Insectivore,Savannahs,Near Threatened
266,Aardvark,11.0,35.0,Herbivore,Oceans,Least Concern
267,Albatross,27.0,25.0,Piscivore,Wetlands,Vulnerable
268,Alligator,11.0,65.0,Carnivore,Grasslands,Endangered
269,African Wild Dog,11.0,11.0,Piscivore,Savannas,Least Concern
270,African Lion,11.0,11.0,Insectivore,Grasslands,Endangered
271,African Elephant,11.0,11.0,Herbivore,Savannas,Near Threatened
272,Aardvark,185.0,65.0,Insectivore,Savannah,Least Concern
273,Aardwolf,11.5,65.0,Carnivore,Savannas,Endangered
274,African Elephant,325.0,35.0,Carnivore,Grasslands,Least Concern
275,Alligator,11.0,42.5,Carnivore,Savannahs,Least Concern
276,Albatross,185.0,65.0,Herbivore,Oceans,Endangered
277,Alligator,4350.0,65.0,Insectivore,Grasslands,Vulnerable
278,Albatross,27.0,25.0,Insectivore,Grasslands,Least Concern
279,African Wild Dog,11.5,11.0,Carnivore,Savannahs,Least Concern
280,African Lion,11.5,42.5,Insectivore,Savannas,Near Threatened
281,African Wild Dog,11.0,25.0,Carnivore,Savannah,Endangered
282,Aardvark,325.0,11.0,Insectivore,Oceans,Least Concern
283,Alligator,11.5,12.0,Carnivore,Wetlands,Near Threatened
284,African Elephant,11.5,11.0,Carnivore,Savannahs,Near Threatened
285,Aardwolf,27.0,42.5,Carnivore,Grasslands,Least Concern
286,African Lion,325.0,35.0,Insectivore,Wetlands,Vulnerable
287,African Elephant,52.5,11.0,Piscivore,Savannah,Endangered
288,African Wild Dog,11.0,35.0,Carnivore,Savannas,Near Threatened
289,Alligator,11.0,11.0,Carnivore,Savannah,Least Concern
290,Aardwolf,11.0,11.0,Carnivore,Wetlands,Vulnerable
291,Aardvark,325.0,11.0,Herbivore,Grasslands,Least Concern
292,African Wild Dog,11.0,35.0,Insectivore,Oceans,Near Threatened
293,Aardwolf,52.5,65.0,Herbivore,Savannas,Least Concern
294,Aardwolf,11.5,35.0,Insectivore,Grasslands,Endangered
295,African Wild Dog,27.0,42.5,Insectivore,Grasslands,Least Concern
296,African Wild Dog,11.0,25.0,Insectivore,Wetlands,Endangered
297,Aardwolf,4350.0,25.0,Herbivore,Grasslands,Vulnerable
298,Aardwolf,11.5,65.0,Carnivore,Savannahs,Near Threatened
299,Alligator,52.5,25.0,Herbivore,Oceans,Near Threatened
300,African Elephant,11.5,65.0,Insectivore,Wetlands,Near Threatened
301,Aardwolf,52.5,25.0,Piscivore,Oceans,Least Concern
302,African Lion,11.5,25.0,Carnivore,Savannahs,Near Threatened
303,African Wild Dog,52.5,11.0,Insectivore,Savannah,Least Concern
304,African Lion,185.0,42.5,Piscivore,Grasslands,Least Concern
305,Albatross,52.5,11.0,Piscivore,Grasslands,Vulnerable
306,Aardwolf,27.0,65.0,Piscivore,Wetlands,Near Threatened
307,Aardvark,27.0,11.0,Piscivore,Savannah,Endangered
308,Aardvark,27.0,11.0,Herbivore,Oceans,Endangered
309,African Lion,4350.0,11.0,Piscivore,Wetlands,Vulnerable
310,Albatross,185.0,35.0,Herbivore,Savannahs,Least Concern
311,African Lion,52.5,12.0,Carnivore,Grasslands,Endangered
312,Aardvark,27.0,12.0,Insectivore,Grasslands,Least Concern
313,African Lion,185.0,11.0,Insectivore,Savannahs,Least Concern
314,Aardwolf,11.5,25.0,Carnivore,Savannahs,Least Concern
315,Aardwolf,11.5,25.0,Carnivore,Oceans,Near Threatened
316,African Lion,4350.0,35.0,Carnivore,Wetlands,Vulnerable
317,African Wild Dog,11.0,25.0,Carnivore,Savannas,Vulnerable
318,Aardvark,325.0,35.0,Carnivore,Savannas,Least Concern
319,African Wild Dog,52.5,35.0,Carnivore,Wetlands,Vulnerable
